Actual,RF_Predicted,LR_Predicted
242.0,219.76,222.82182044210822
105.0,114.88,168.56820898636943
158.0,224.62,248.1016229158613
175.0,416.47,282.79631072798475
599.0,239.13,237.5678870531301
137.0,177.06,184.82874903248194
475.0,242.21,83.51951947745329
253.0,194.79,283.32960807220115
145.0,146.38,-32.307258836555775
188.0,121.84,135.1385686649228
198.0,191.28,188.36295248578426
184.0,294.31,255.2658602818301
48.0,80.88,81.10451510740495
69.0,75.49,104.57499777541852
44.0,85.67,105.02646085392189
139.0,134.56,185.66426921983293
520.0,282.19,205.2100082526158
564.0,261.96,208.11768653231957
204.0,260.78,262.63559121144135
427.0,235.61,282.7447670042966
42.0,37.11,84.20856547905896
200.0,222.87,213.80735312753677
150.0,155.37,202.9188594065854
637.0,291.75,241.36632104883574
52.0,63.65,143.96776610178495
198.0,246.16,229.11079596210038
78.0,297.0,212.4609417292886
86.0,48.54,87.70368012193467
53.0,51.87,163.5853215252282
126.0,232.92,253.2173648444059
204.0,280.06,293.1337454710938
69.0,60.76,189.35916540303697
144.0,114.68,181.1641048937563
401.0,314.43,209.18205640107226
52.0,145.19,88.6894097235363
220.0,266.18,124.6823480874591
54.0,59.68,203.58120613768733
140.0,183.59,292.54382547853857
125.0,168.84,201.83056179319283
832.0,366.7,261.9702623990979
86.0,115.03,228.29150225085687
252.0,457.39,218.4256295675914
368.0,389.11,251.98918986795798
241.0,446.15,281.2279931601024
63.0,229.03,257.67097529982675
135.0,158.33,198.37355226694126
33.0,77.84,96.18960106477607
281.0,240.56,218.93130116825705
116.0,136.44,130.92543266173743
158.0,162.76,289.8096804466877
106.0,313.77,288.7925484092466
188.0,319.48,250.10015294221557
142.0,199.64,202.31037152773388
129.0,225.38,289.4417646667898
176.0,263.21,246.31115513110126
208.0,174.24,135.2865251381736
181.0,176.1,228.03436294672065
304.0,182.62,130.4949614477173
132.0,132.18,225.16418173732563
51.0,136.94,158.5929829474917
157.0,97.97,193.36887818519062
500.0,449.51,216.23762925123447
136.0,229.19,235.10442209189932
801.0,133.25,268.98382038266936
175.0,238.91,239.72978142979446
73.0,164.13,23.293427557377072
68.0,72.37,222.55024262475672
559.0,406.26,235.7306660562499
125.0,105.87,136.96951848871868
256.0,274.35,290.11920606254716
189.0,1062.56,162.43868557093447
75.0,164.21,156.38044759827426
138.0,246.74,173.8788663943833
268.0,231.42,294.65321594910347
266.0,199.44,82.635505541155
133.0,151.46,245.39067350857295
193.0,186.17,219.68948286203158
296.0,315.41,223.06875248743927
130.0,137.91,219.60775889197794
145.0,121.14,110.72746396226103
89.0,124.21,154.86816900101257
95.0,196.72,226.29807558174434
635.0,346.59,284.5029418810209
66.0,80.58,110.12869546190086
222.0,285.59,173.27543707707446
151.0,156.95,172.7989197165698
229.0,219.87,242.70549998521346
9991.0,827.4008333333333,779.9877036394028
118.0,175.77,144.60042701186285
45.0,55.05,164.1584211204281
205.0,143.35,198.10982469138253
248.0,363.13,236.85833307335452
428.0,296.56,259.3521169805026
177.0,113.57833333333332,765.7794760801535
161.0,104.19,161.1003748863768
123.0,118.33,189.20600061150617
150.0,265.51,315.35351674940466
77.0,131.11,221.41170205634444
152.0,211.5,-371.66393216139295
191.0,211.46,295.4787196331017
69.0,243.045,226.65301931263457
132.0,166.34,270.7165103735988
488.0,276.51,274.7378339652805
224.0,109.63,208.34812390010666
196.0,207.18,245.4613744441467
34.0,40.97,214.97286450821048
40.0,43.75,96.04925224895487
45.0,1640.62,251.33965326697034
278.0,302.71,282.87362242665586
129.0,221.41,287.15817829427397
147.0,184.19,221.21388462795585
44.0,49.91,146.54567001806936
33.0,28.96,104.31816239741784
116.0,141.26,218.07240993420783
339.0,189.06,239.9142573777208
96.0,170.86,107.96903354454662
80.0,58.08,160.23857842369216
62.0,64.28,189.2551232101232
336.0,780.98,301.79513932701593
145.0,165.19,229.79374821282727
79.0,94.86,199.08872270278152
90.0,98.08,104.9940804572725
207.0,378.73,252.37292820607945
